# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1.1693023; 23.2505543; 0.6474853; 0.3422284; -0.4802159; 0.8771503; -0.0018833; 0.0000000; 2.0668530; 0.5942253; 3.7147123; -0.9197981
1.0005304; 23.1440390; 0.7491456; 0.3165285; -0.5872629; 0.8093962; -0.0008977; 0.1995337; 2.1937549; 0.6782565; 3.6649340; -0.0299371
0.8474720; 23.0160098; 0.8474031; 0.3001086; -0.6941213; 0.7198581; -0.0001086; 0.3991774; 2.3356125; 0.7451684; 3.6633025; -0.0299371
0.7139144; 22.8677492; 0.7588309; 0.3031797; -0.7869565; 0.6170085; 0.0000648; 0.5988869; 2.4772697; 0.6765174; 3.6616702; 0.8994604
0.6010217; 22.7031703; 0.6217492; 0.3332178; -0.8575832; 0.5143453; -0.0001833; 0.7985880; 2.6031119; 0.5854866; 3.7103980; 1.9088635
0.5080619; 22.5265307; 0.5346944; 0.3767513; -0.9084842; 0.4179192; -0.0004955; 0.9982567; 2.7117887; 0.5039645; 3.8117463; 2.6452815
0.4335025; 22.3413445; 0.4907099; 0.4127501; -0.9438238; 0.3304493; -0.0006307; 1.1979079; 2.8049409; 0.4296151; 3.9478950; 3.2693027
0.3753518; 22.1503476; 0.4540255; 0.4467861; -0.9672426; 0.2538539; -0.0005029; 1.3975668; 2.8837536; 0.3601175; 4.1099344; 3.8793719
0.3312996; 21.9555978; 0.4178287; 0.4806390; -0.9818945; 0.1894286; -0.0001570; 1.5972501; 2.9490132; 0.2937268; 4.2942861; 4.5422777
0.2988268; 21.7585723; 0.3819765; 0.5142067; -0.9904333; 0.1379920; 0.0002680; 1.7969592; 3.0012024; 0.2291090; 4.5005529; 5.2548149
0.2752890; 21.5602703; 0.3463020; 0.5476391; -0.9949879; 0.0999957; 0.0005770; 1.9966821; 3.0405582; 0.1651203; 4.7279626; 5.2501332
0.2579862; 21.3613198; 0.3102333; 0.5814939; -0.9971433; 0.0755324; 0.0005741; 2.1964036; 3.0670391; 0.1001181; 4.9447360; 5.2454556
0.2443461; 21.1620815; 0.3002317; 0.5987778; -0.9980325; 0.0626987; 0.0002317; 2.3961156; 3.0808164; 0.0379009; 5.1522160; 5.2407823
0.2325492; 20.9627256; 0.3007767; 0.6035383; -0.9984425; 0.0557899; -0.0000930; 2.5958213; 3.0869331; 0.0233701; 5.3514839; 5.2361131
0.2219729; 20.7633007; 0.3024901; 0.6056472; -0.9987375; 0.0502339; -0.0002228; 2.7955259; 3.0915840; 0.0232104; 5.5434253; 5.2314480
0.2124465; 20.5638222; 0.3039885; 0.6078332; -0.9989753; 0.0452586; -0.0002235; 2.9952307; 3.0961504; 0.0225249; 5.7287770; 5.2267871
0.2038640; 20.3643009; 0.3032316; 0.6066374; -0.9991687; 0.0407657; -0.0001747; 3.1949358; 3.1005337; 0.0213770; 5.9081593; 5.2221304
0.1961377; 20.1647445; 0.3012712; 0.6064874; -0.9993274; 0.0366709; -0.0001190; 3.3946413; 3.1046494; 0.0198439; 6.0821005; 5.2174778
0.1891955; 19.9651593; 0.3000305; 0.6085487; -0.9994586; 0.0329019; -0.0000678; 3.5943469; 3.1084250; 0.0179702; 6.2510550; 5.2128294
0.1829821; 19.7655502; 0.3000000; 0.6097964; -0.9995693; 0.0293468; 0.0000000; 3.7940527; 3.1117630; 0.0154626; 6.4154169; 5.2081851
0.1774617; 19.5659208; 0.3013441; 0.6096848; -0.9996625; 0.0259768; 0.0001374; 3.9937588; 3.1147075; 0.0140279; 6.5755308; 5.2035449
0.1725880; 19.3662745; 0.3041196; 0.6081481; -0.9997381; 0.0228863; 0.0003582; 4.1934655; 3.1174256; 0.0131963; 6.7316999; 5.1989089
0.1682993; 19.1666147; 0.3083213; 0.6051907; -0.9997976; 0.0201166; 0.0006381; 4.3931730; 3.1199731; 0.0123183; 6.8841927; 5.1942770
0.1645325; 18.9669443; 0.3128188; 0.5989847; -0.9998441; 0.0176586; 0.0009490; 4.5928811; 3.1223409; 0.0113965; 7.0332486; 5.1896492
0.1612261; 18.7672658; 0.3173399; 0.5908438; -0.9998798; 0.0155038; 0.0012662; 4.7925897; 3.1245206; 0.0104339; 7.1790817; 5.1850255
0.1583204; 18.5675810; 0.3238124; 0.5854525; -0.9999069; 0.0136445; 0.0015683; 4.9922985; 3.1265041; 0.0094328; 7.3218847; 5.1804060
0.1557572; 18.3678915; 0.3316257; 0.5794444; -0.9999271; 0.0120731; 0.0018369; 5.1920073; 3.1282843; 0.0083964; 7.4618317; 5.1757906
0.1534795; 18.1681986; 0.3405835; 0.5723089; -0.9999419; 0.0107831; 0.0020565; 5.3917159; 3.1298543; 0.0073280; 7.5990805; 5.1711793
0.1514319; 17.9685031; 0.3491067; 0.5646756; -0.9999523; 0.0097684; 0.0022141; 5.5914241; 3.1312081; 0.0062314; 7.7337751; 5.1665721
0.1495599; 17.7688060; 0.3548366; 0.5615264; -0.9999593; 0.0090238; 0.0022989; 5.7911317; 3.1323405; 0.0051106; 7.8660465; 5.1619690
0.1478100; 17.5691077; 0.3594952; 0.5666940; -0.9999635; 0.0085449; 0.0023022; 5.9908388; 3.1332471; 0.0039695; 7.9960154; 5.1573700
0.1461296; 17.3694088; 0.3646707; 0.5724221; -0.9999653; 0.0083279; 0.0022168; 6.1905452; 3.1339243; 0.0028121; 8.1237921; 5.1527751
0.1444665; 17.1697098; 0.3704667; 0.5775485; -0.9999650; 0.0083701; 0.0020368; 6.3902512; 3.1343690; 0.0016424; 8.2494787; 5.1481843
0.1427693; 16.9700111; 0.3642791; 0.5755662; -0.9999624; 0.0086694; 0.0017572; 6.5899568; 3.1345793; 0.0004641; 8.3731695; 5.1435976
0.1409868; 16.7703131; 0.3355493; 0.5596622; -0.9999575; 0.0092244; 0.0013739; 6.7896622; 3.1345539; -0.0007190; 8.4949517; 0.2148253
0.1390680; 16.5706164; 0.3156021; 0.5446920; -0.9999497; 0.0100345; 0.0008830; 6.9893678; 3.1342921; -0.0019034; 8.5000000; 0.0000000
0.1369636; 16.3709215; 0.3002813; 0.5298195; -0.9999387; 0.0110757; 0.0002813; 7.1890741; 3.1338109; -0.0029151; 8.5000000; 0.0000000
0.1346372; 16.1712292; 0.3085372; 0.5186530; -0.9999253; 0.0122225; -0.0004302; 7.3887814; 3.1331908; -0.0032945; 8.5000000; 0.0000000
0.1320832; 15.9715396; 0.3535692; 0.5181467; -0.9999109; 0.0133473; -0.0012390; 7.5884899; 3.1325102; -0.0035224; 8.5000000; 0.0000000
0.1293093; 15.7718529; 0.3802044; 0.5178163; -0.9998960; 0.0144252; -0.0021273; 7.7881996; 3.1317853; -0.0037384; 8.5000000; 0.0000000
