
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
0.000000; 1.169302; 23.250554; 2.066853; 0.594225; 3.714712; -0.919798; 0.647485; 0.342228
0.199573; 1.000530; 23.144039; 2.193755; 0.678257; 3.664934; -0.029937; 0.749146; 0.316528
0.399119; 0.847472; 23.016010; 2.335612; 0.745168; 3.663302; -0.029937; 0.847403; 0.300109
0.598665; 0.713914; 22.867749; 2.477270; 0.676517; 3.661670; 0.899460; 0.758831; 0.303180
0.798242; 0.601022; 22.703170; 2.603112; 0.585487; 3.710398; 1.908864; 0.621749; 0.333218
0.997849; 0.508062; 22.526531; 2.711789; 0.503965; 3.811746; 2.645281; 0.534694; 0.376751
1.197482; 0.433503; 22.341345; 2.804941; 0.429615; 3.947895; 3.269303; 0.490710; 0.412750
1.397135; 0.375352; 22.150348; 2.883754; 0.360117; 4.109934; 3.879372; 0.454026; 0.446786
1.596805; 0.331300; 21.955598; 2.949013; 0.293727; 4.294286; 4.542278; 0.417829; 0.480639
1.796488; 0.298827; 21.758572; 3.001202; 0.229109; 4.500553; 5.254815; 0.381976; 0.514207
1.996182; 0.275289; 21.560270; 3.040558; 0.165120; 4.727963; 5.250133; 0.346302; 0.547639
2.195884; 0.257986; 21.361320; 3.067039; 0.100118; 4.944736; 5.245456; 0.310233; 0.581494
2.395588; 0.244346; 21.162081; 3.080816; 0.037901; 5.152216; 5.240782; 0.300232; 0.598778
2.595293; 0.232549; 20.962726; 3.086933; 0.023370; 5.351484; 5.236113; 0.300777; 0.603538
2.794998; 0.221973; 20.763301; 3.091584; 0.023210; 5.543425; 5.231448; 0.302490; 0.605647
2.994704; 0.212447; 20.563822; 3.096150; 0.022525; 5.728777; 5.226787; 0.303988; 0.607833
3.194410; 0.203864; 20.364301; 3.100534; 0.021377; 5.908159; 5.222130; 0.303232; 0.606637
3.394116; 0.196138; 20.164745; 3.104649; 0.019844; 6.082101; 5.217478; 0.301271; 0.606487
3.593822; 0.189195; 19.965159; 3.108425; 0.017970; 6.251055; 5.212829; 0.300030; 0.608549
3.793527; 0.182982; 19.765550; 3.111763; 0.015463; 6.415417; 5.208185; 0.300000; 0.609796
3.993233; 0.177462; 19.565921; 3.114708; 0.014028; 6.575531; 5.203545; 0.301344; 0.609685
4.192939; 0.172588; 19.366274; 3.117426; 0.013196; 6.731700; 5.198909; 0.304120; 0.608148
4.392645; 0.168299; 19.166615; 3.119973; 0.012318; 6.884193; 5.194277; 0.308321; 0.605191
4.592351; 0.164532; 18.966944; 3.122341; 0.011397; 7.033249; 5.189649; 0.312819; 0.598985
4.792057; 0.161226; 18.767266; 3.124521; 0.010434; 7.179082; 5.185026; 0.317340; 0.590844
4.991763; 0.158320; 18.567581; 3.126504; 0.009433; 7.321885; 5.180406; 0.323812; 0.585453
5.191468; 0.155757; 18.367891; 3.128284; 0.008396; 7.461832; 5.175791; 0.331626; 0.579444
5.391174; 0.153479; 18.168199; 3.129854; 0.007328; 7.599081; 5.171179; 0.340583; 0.572309
5.590880; 0.151432; 17.968503; 3.131208; 0.006231; 7.733775; 5.166572; 0.349107; 0.564676
5.790586; 0.149560; 17.768806; 3.132341; 0.005111; 7.866047; 5.161969; 0.354837; 0.561526
5.990292; 0.147810; 17.569108; 3.133247; 0.003969; 7.996015; 5.157370; 0.359495; 0.566694
6.189998; 0.146130; 17.369409; 3.133924; 0.002812; 8.123792; 5.152775; 0.364671; 0.572422
6.389704; 0.144466; 17.169710; 3.134369; 0.001642; 8.249479; 5.148184; 0.370467; 0.577549
6.589410; 0.142769; 16.970011; 3.134579; 0.000464; 8.373169; 5.143598; 0.364279; 0.575566
6.789116; 0.140987; 16.770313; 3.134554; -0.000719; 8.494952; 0.214825; 0.335549; 0.559662
6.988822; 0.139068; 16.570616; 3.134292; -0.001903; 8.500000; 0.000000; 0.315602; 0.544692
7.188528; 0.136964; 16.370922; 3.133811; -0.002915; 8.500000; 0.000000; 0.300281; 0.529819
7.388234; 0.134637; 16.171229; 3.133191; -0.003295; 8.500000; 0.000000; 0.308537; 0.518653
7.587940; 0.132083; 15.971540; 3.132510; -0.003522; 8.500000; 0.000000; 0.353569; 0.518147
7.787646; 0.129309; 15.771853; 3.131785; -0.003738; 8.500000; 0.000000; 0.380204; 0.517816
7.987352; 0.126325; 15.572169; 3.131019; -0.003940; 8.500000; 0.000000; 0.388542; 0.515016
8.187057; 0.123138; 15.372489; 3.130213; -0.004124; 8.500000; 0.000000; 0.394178; 0.512004
8.386763; 0.119756; 15.172811; 3.129373; -0.004290; 8.500000; 0.000000; 0.399531; 0.509231
8.586469; 0.116188; 14.973137; 3.128502; -0.004438; 8.500000; 0.000000; 0.404601; 0.506740
8.786175; 0.112439; 14.773467; 3.127603; -0.004570; 8.500000; 0.000000; 0.412233; 0.503277
8.985881; 0.108514; 14.573799; 3.126678; -0.004686; 8.500000; 0.000000; 0.435702; 0.497330
9.185587; 0.104420; 14.374135; 3.125733; -0.004787; 8.500000; 0.000000; 0.477686; 0.497131
9.385293; 0.100161; 14.174475; 3.124768; -0.004875; 8.500000; 0.000000; 0.494950; 0.499825
9.584999; 0.095741; 13.974818; 3.123787; -0.004949; 8.500000; 0.000000; 0.483278; 0.502127
9.784705; 0.091163; 13.775164; 3.122792; -0.005012; 8.500000; 0.000000; 0.469544; 0.499136
9.984411; 0.086430; 13.575515; 3.121786; -0.005063; 8.500000; 0.000000; 0.455905; 0.495494
10.184117; 0.081545; 13.375868; 3.120771; -0.005104; 8.500000; 0.000000; 0.441865; 0.492253
10.383823; 0.076511; 13.176226; 3.119749; -0.005136; 8.500000; 0.000000; 0.429019; 0.488754
